name,height,weight,position,school,city,state,score,nat_rank,pos_rank,state_rank,website,school_offer
Aris Drake,6-6 ,290,OT,Twin Valley,Elverson,PA,NA,NA,NA,NA,247,UMass
Patrick Enright,6-5 ,290,OT,Canisius,Buffalo,NY,NA,NA,NA,NA,247,UMass
Joe Alnwick,6-5 ,300,OT,Blair Academy,Blairstown,NJ,NA,NA,NA,NA,247,UMass
Donovan Wilkinson,6-5 ,295,OT,Cinnaminson,Riverton,NJ,NA,NA,NA,NA,247,UMass
Nolan Irwin,6-6 ,285,OT,Northwest Cabarrus,Concord,NC,NA,NA,NA,NA,247,UMass
Kynjrick Boyd,6-5 ,315,OT,Iowa Western C.C.,Council Bluffs,IA,NA,NA,NA,NA,247,UMass
Chris Therien,6-6 ,275,OT,Cherokee,Marlton,NJ,NA,NA,NA,NA,247,UMass
Malachi Goodman,6-5.5 ,320,IOL,Paramus Catholic,Paramus,NJ,0.98,19,5,1,247,UMass
Jaylen Gilchrist,6-4.5 ,295,IOL,Salem,Virginia Beach,VA,0.94,120,6,2,247,UMass
Christian Hudson,6-1 ,280,IOL,Mainland,Daytona Beach,FL,0.89,NA,42,52,247,UMass
Jake Cook,6-5 ,295,IOL,Westerville North,Westerville,OH,0.89,NA,34,21,247,UMass
Max Buchanan,6-4 ,275,IOL,Seminole,Sanford,FL,0.88,NA,39,67,247,UMass
Drew Hill,6-3 ,286,IOL,Centennial,Corona,CA,0.87,NA,72,90,247,UMass
Denzil Williams,6-4 ,300,IOL,Archbishop Stepinac,White Plains,NY,0.87,NA,82,8,247,UMass
Drayden Pavey,6-3 ,305,IOL,Taft,Cincinnati,OH,0.87,NA,113,47,247,UMass
Daniel Pierre Louis,6-4.5 ,290,IOL,Seminole Ridge,Loxahatchee,FL,0.86,NA,87,132,247,UMass
RyShawn Perry,6-3 ,275,IOL,Newton,Covington,GA,0.86,NA,139,153,247,UMass
Kage Payne,6-3 ,280,IOL,Kings,Kings Mills,OH,0.86,NA,111,62,247,UMass
Andrew Stargel,6-4 ,284,IOL,Roswell,Roswell,GA,0.86,NA,114,163,247,UMass
Bubba Craig,6-8 ,320,IOL,Hutchinson C.C.,Hutchinson,KS,0.86,32,2,5,247,UMass
Phillip Bowser,6-5 ,265,IOL,Ursuline,Youngstown,OH,0.86,NA,116,66,247,UMass
Triston Pierre,6-4 ,255,IOL,Quince Orchard,Gaithersburg,MD,0.86,NA,120,48,247,UMass
Amory Hills,6-5 ,310,IOL,Milford Mill Academy,Gwynn Oak,MD,0.85,NA,127,50,247,UMass
Cade Wilhelmi,6-5 ,275,IOL,Detroit Country Day,Franklin,MI,0.85,NA,128,30,247,UMass
Chavez Thompson,6-1 ,310,IOL,Cocoa,Cocoa,FL,0.85,NA,139,208,247,UMass
Matthew Hawn,6-6 ,270,IOL,Christian Brothers Academy,Syracuse,NY,0.85,NA,126,15,247,UMass
Thomas Barr,6-3 ,305,IOL,The Haverford School,Haverford,PA,0.85,NA,144,34,247,UMass
Dylan Villarouel,6-3 ,290,IOL,North Forsyth,Cumming,GA,0.85,NA,151,210,247,UMass
Toby Mealer,6-5 ,340,IOL,Lone Peak,American Fork,UT,0.84,NA,157,28,247,UMass
Xavier Spikes,6-4 ,291,IOL,Stockbridge,Stockbridge,GA,0.84,NA,160,219,247,UMass
Liam Vaughan,6-2 ,280,IOL,Walled Lake Western,Walled Lake,MI,0.84,NA,161,42,247,UMass
Logan Wegman,6-4 ,275,IOL,Exeter Township,Reading,PA,0.84,NA,164,37,247,UMass
Nehemiah Johnson,6-5 ,320,IOL,Orange Lutheran,Orange,CA,0.84,NA,189,196,247,UMass
Jayden Madkins,6-2 ,290,IOL,Tyler J.C.,Tyler,TX,0.83,96,8,11,247,UMass
Ayden Annarino,6-3 ,275,IOL,Pickerington North,Pickerington,OH,0.82,NA,238,126,247,UMass
Ethan Kraatz,6-4.5 ,280,IOL,Heritage,Saginaw,MI,0.82,NA,259,64,247,UMass
Kaliem Croswell,6-4 ,310,IOL,Garden City C.C.,Garden City,KS,0.81,120,13,33,247,UMass
Devin Davis,6-2 ,305,IOL,Butler C.C.,El Dorado,KS,0.79,143,16,38,247,UMass
Simeon Maiava,6-3 ,320,IOL,Riverside C.C.,Riverside,CA,0.79,154,20,25,247,UMass
Willis Anderson,6-6 ,330,IOL,East Central C.C.,Decatur,MS,NA,NA,NA,NA,247,UMass
Marco De Croce,6-4 ,295,IOL,Northern Valley Regional - Demarest,Demarest,NJ,NA,NA,NA,NA,247,UMass
Cole Anderson,6-3 ,290,IOL,Creekside,Saint Augustine,FL,NA,NA,NA,NA,247,UMass
Jake Atha,6-3 ,270,IOL,Prince Avenue Christian School,Bogart,GA,NA,NA,NA,NA,247,UMass
Will Smith,6-4 ,300,IOL,Tabor Academy,Marion,MA,NA,NA,NA,NA,247,UMass
Chase Dorsey,6-3 ,277,IOL,Calvert Hall College,Towson,MD,NA,NA,NA,NA,247,UMass
Matthew Johnson,6-5 ,265,Edge,De La Salle,Concord,CA,0.92,212,23,20,247,UMass
Anthony Kruah,6-2 ,210,Edge,Marietta,Marietta,GA,0.91,NA,26,40,247,UMass
Jayden Loftin,6-4 ,250,Edge,Somerville,Somerville,NJ,0.9,NA,31,7,247,UMass
Cedric Works,6-4 ,220,Edge,Frederick Douglass,Lexington,KY,0.9,NA,34,4,247,UMass
Robbie Johnson Jr,6-2.5 ,250,Edge,Salesianum,Wilmington,DE,0.9,NA,34,1,247,UMass
Tylon Lee,6-4 ,245,Edge,Pace,Milton,FL,0.89,NA,62,62,247,UMass
Colby Cronk,6-3 ,260,Edge,Flagler Palm Coast,Palm Coast,FL,0.88,NA,49,68,247,UMass
Jeramiah McCloud,6-3 ,280,Edge,Lee County,Leesburg,GA,0.88,NA,86,90,247,UMass
Raedyn Bruens,6-4 ,241,Edge,Mosley,Lynn Haven,FL,0.87,NA,108,110,247,UMass
Chandavian Bradley,6-4 ,242,Edge,Hutchinson C.C.,Hutchinson,KS,0.87,12,1,1,247,UMass
Ismael Kante,6-2 ,225,Edge,Iowa Central C.C.,Fort Dodge,IA,0.87,20,1,3,247,UMass
Romando Johnson,6-3 ,250,Edge,Monarch,Pompano Beach,FL,0.86,NA,82,117,247,UMass
Tim Griffin,6-5 ,255,Edge,Alcovy,Covington,GA,0.86,NA,121,131,247,UMass
Erik Gayle,6-3 ,215,Edge,Withrow,Cincinnati,OH,0.86,NA,93,55,247,UMass
Jamar Birden,6-2 ,225,Edge,Ware County,Waycross,GA,0.86,NA,104,145,247,UMass
Sam Hayward,6-3 ,205,Edge,Providence,Jacksonville,FL,0.86,NA,120,172,247,UMass
Rashod Bradley,6-3 ,255,Edge,East Mississippi C.C.,Scooba,MS,0.86,35,4,15,247,UMass
Kamden Laudenslager,6-3 ,215,Edge,McDonogh School,Owings Mills,MD,0.85,NA,125,49,247,UMass
Gavin Askew,6-3 ,240,Edge,Hillgrove,Powder Springs,GA,0.85,NA,143,198,247,UMass
Jonah Hayes,6-6 ,215,Edge,Archbishop Moeller,Cincinnati,OH,0.85,NA,156,81,247,UMass
Khy'lek Jarrett,6-3 ,205,Edge,Princeton,Cincinnati,OH,0.85,NA,158,85,247,UMass
Byron Jackson,6-3 ,205,Edge,Gadsden County,Havana,FL,0.84,NA,171,232,247,UMass
Javen Augustus,6-4 ,225,Edge,Highland C.C.,Highland,KS,0.84,76,5,20,247,UMass
KJ Brown,6-3 ,220,Edge,Winton Woods,Cincinnati,OH,0.84,NA,180,104,247,UMass
Dominick Moody,6-2 ,260,Edge,North Cobb,Kennesaw,GA,0.83,NA,242,240,247,UMass
Myles Harrison,6-3 ,210,Edge,Pickerington Central,Pickerington,OH,0.82,NA,219,133,247,UMass
Ty Watkins,6-5 ,215,Edge,Mt Healthy,Cincinnati,OH,0.81,NA,232,146,247,UMass
Jackson Heims,6-2 ,215,Edge,Springfield,Springfield,OH,0.78,NA,250,180,247,UMass
Jeremiah Shelby,6-3 ,250,Edge,Pensacola Catholic,Pensacola,FL,NA,NA,NA,NA,247,UMass
Marshon Oxley,6-3 ,224,Edge,Hutchinson C.C.,Hutchinson,KS,NA,NA,NA,NA,247,UMass
Jacob Joseph,6-3 ,215,Edge,Western,Fort Lauderdale,FL,NA,NA,NA,NA,247,UMass
Keenan Brown,6-3 ,220,Edge,Monroe,Monroe,OH,NA,NA,NA,NA,247,UMass
Maddox Dykeman,6-8 ,255,Edge,McIntosh,Peachtree City,GA,NA,NA,NA,NA,247,UMass
Jason Grier Jr.,6-2 ,230,Edge,North Cobb,Kennesaw,GA,NA,NA,NA,NA,247,UMass
Brahim Wynn,6-3 ,235,Edge,Milford Academy,New Berlin,NY,NA,NA,NA,NA,247,UMass
Moses Bailey,6-3 ,238,Edge,St. Frances Academy,Baltimore,MD,NA,NA,NA,NA,247,UMass
Chase Linton,6-4 ,215,DL,North Atlanta,Atlanta,GA,0.97,44,4,7,247,UMass
Jalen Wiggins,6-4.5 ,255,DL,Rickards,Tallahassee,FL,0.92,192,20,20,247,UMass
London Merritt,6-2.5 ,250,DL,IMG Academy,Bradenton,FL,0.9,NA,33,35,247,UMass
Brandon Brown,6-1.5 ,286,DL,Eau Gallie,Melbourne,FL,0.89,NA,43,54,247,UMass
Derry Norris,6-3 ,265,DL,Spruce Creek,Port Orange,FL,0.88,NA,65,74,247,UMass
Brandon Caesar,6-4 ,255,DL,Cleveland Heights,Cleveland,OH,0.88,NA,72,26,247,UMass
Tyeland Coleman,6-4 ,285,DL,Northwest Mississippi C.C.,Senatobia,MS,0.88,8,5,5,247,UMass
Makhi Williams-Lee,6-2 ,280,DL,Lakeside,Atlanta,GA,0.87,NA,96,102,247,UMass
Tommy Rupley,6-3.5 ,250,DL,Belmont Hill School,Belmont,MA,0.87,NA,97,3,247,UMass
Adam Shovlin,6-4 ,250,DL,The Lawrenceville School,Lawrenceville,NJ,0.87,NA,103,29,247,UMass
Perry Cole,6-3 ,290,DL,Trinity Valley C.C.,Athens,TX,0.87,13,6,1,247,UMass
Jamarcus Moye,6-4 ,320,DL,Tyler J.C.,Tyler,TX,0.87,21,10,2,247,UMass
Jyon Simon,6-1.5 ,260,DL,Raines,Jacksonville,FL,0.86,NA,116,136,247,UMass
Omarian Abraham,6-1.5 ,294,DL,American Heritage,Fort Lauderdale,FL,0.86,NA,119,152,247,UMass
Trey Verdon,6-2 ,225,DL,Hamilton,Hamilton,OH,0.86,NA,129,54,247,UMass
Keishaun Calhoun,6-4 ,245,DL,Groveport Madison,Groveport,OH,0.86,NA,131,56,247,UMass
Masyn Zahursky,6-4 ,265,DL,Midpark,Cleveland,OH,0.86,NA,118,69,247,UMass
Tanner Jumpp,6-3 ,255,DL,Lake Mary,Lake Mary,FL,0.85,NA,167,178,247,UMass
Delmar White,6-1 ,285,DL,Archbishop Spalding,Severn,MD,0.85,NA,193,55,247,UMass
D.J. Burgess,6-2 ,255,DL,Northwest Mississippi C.C.,Senatobia,MS,0.85,48,15,20,247,UMass
Jeremiah Ticket,6-3 ,279,DL,Jonesboro,Jonesboro,GA,0.85,NA,202,215,247,UMass
Naim Jackson,6-5 ,270,DL,LaSalle,Cincinnati,OH,0.83,NA,240,106,247,UMass
Antonio Henley,6-0 ,245,DL,Gaither,Tampa,FL,0.83,NA,243,256,247,UMass
Jaimion Olverson,6-4 ,225,DL,Princeton,Cincinnati,OH,0.83,NA,245,114,247,UMass
Luca Akirtava,6-2 ,250,DL,Reedy,Frisco,TX,0.83,NA,251,352,247,UMass
Nimari Brantley,6-0.5 ,260,DL,Coconut Creek,Pompano Beach,FL,0.83,NA,256,272,247,UMass
Rex Stinchcomb,6-3 ,280,DL,Gonzaga College,Washington,DC,0.83,NA,259,10,247,UMass
Brendon Rice,6-3 ,260,DL,North Farmington,Farmington,MI,0.82,NA,268,56,247,UMass
Jonah Sellers,6-4 ,290,DL,Mt. San Jacinto College,San Jacinto,CA,0.82,108,22,14,247,UMass
Mekhi Lockhart,6-3 ,286,DL,Winter Park,Winter Park,FL,0.81,NA,286,318,247,UMass
Samuel Robles,6-3 ,270,DL,Tyler J.C.,Tyler,TX,0.79,144,28,17,247,UMass
Jacob Tur,6-2 ,245,DL,De La Salle Collegiate,Warren,MI,0.76,NA,313,130,247,UMass
Donovan Moyer,6-3 ,240,DL,Good Counsel,Olney,MD,NA,NA,NA,NA,247,UMass
Tanner Wheeler,6-5 ,250,DL,Freedom,Bethlehem,PA,NA,NA,NA,NA,247,UMass
Folu Shobowale,6-2 ,300,DL,Tabor Academy,Marion,MA,NA,NA,NA,NA,247,UMass
Delaney Fludd,6-3 ,290,DL,Bergen Catholic,Oradell,NJ,NA,NA,NA,NA,247,UMass
Jakwon McGinney,6-3 ,290,DL,Hutchinson C.C.,Hutchinson,KS,NA,NA,NA,NA,247,UMass
Timothy Taylor Jr.,6-1 ,280,DL,Williston,Williston,FL,NA,NA,NA,NA,247,UMass
Ty Jackson,6-1 ,200,LB,Seminole Ridge,Loxahatchee,FL,0.91,NA,25,28,247,UMass
Dayshaun Burnett,6-2.5 ,215,LB,Imani Christian Academy,Pittsburgh,PA,0.9,NA,36,9,247,UMass
Grant Beerman,6-4 ,220,LB,Lakota West,West Chester,OH,0.9,NA,41,15,247,UMass
Kamar Archie,6-1 ,225,LB,Hun School,Princeton,NJ,0.89,NA,59,13,247,UMass
Ethan Pritchard,6-2 ,205,LB,Seminole,Sanford,FL,0.88,NA,73,81,247,UMass
Carlton Smith,6-0 ,205,LB,Maury,Norfolk,VA,0.88,NA,75,21,247,UMass
DiMari Malone,6-2 ,220,LB,Dakota,Macomb,MI,0.88,NA,76,12,247,UMass
Eli Lee,6-3 ,230,LB,Archbishop Hoban,Akron,OH,0.88,NA,84,28,247,UMass
Denim Cook,6-4 ,223,LB,Bishop Hartley,Columbus,OH,0.87,NA,104,39,247,UMass
Isaiah Reese,6-3 ,200,LB,Phillips Exeter Academy,Exeter,NH,0.87,NA,110,1,247,UMass
Maddox Arnold,6-2 ,225,LB,Elder,Cincinnati,OH,0.87,NA,111,44,247,UMass
Max Redmon,6-1 ,185,LB,Cardinal Newman,West Palm Beach,FL,0.87,NA,99,109,247,UMass
Jerald James,6-2 ,210,LB,Miami Palmetto,Miami,FL,0.86,NA,86,142,247,UMass
PJ Nelson,6-2 ,205,LB,Princeton,Cincinnati,OH,0.86,NA,138,61,247,UMass
Justin Thompson,6-1.5 ,220,LB,Good Counsel,Olney,MD,0.86,NA,154,45,247,UMass
Dinos Drossos,6-3 ,210,LB,Salpointe Catholic,Tucson,AZ,0.86,NA,155,19,247,UMass
Quatorius Walker,6-1 ,220,LB,East Paulding,Dallas,GA,0.85,NA,164,172,247,UMass
George Hill,6-2 ,225,LB,Woodland Hills,Pittsburgh,PA,0.85,NA,186,36,247,UMass
Nate Gregory,6-0 ,225,LB,St. Edward,Lakewood,OH,0.84,NA,205,97,247,UMass
EahJay McAdams,6-1 ,205,LB,West Orange,West Orange,NJ,0.84,NA,218,48,247,UMass
Jermaine Minnis,6-1 ,210,LB,DeMatha Catholic,Hyattsville,MD,0.83,NA,229,63,247,UMass
Hector Chavez,5-10 ,215,LB,Columbus,Miami,FL,0.82,NA,254,285,247,UMass
Jon Bocchino,6-1 ,198,LB,Niceville,Niceville,FL,0.82,NA,269,294,247,UMass
Gavin James,6-0 ,215,LB,Lincoln,Tallahassee,FL,0.82,NA,272,311,247,UMass
Darion White,6-2 ,220,LB,Tyler J.C.,Tyler,TX,0.79,145,12,18,247,UMass
Julian Mendez,6-1 ,195,LB,Western,Fort Lauderdale,FL,NA,NA,NA,NA,247,UMass
Emmanuel Small,5-9 ,200,LB,Eau Gallie,Melbourne,FL,NA,NA,NA,NA,247,UMass
Myron Shafer,6-0 ,205,LB,Mainland,Daytona Beach,FL,NA,NA,NA,NA,247,UMass
Jake Thorner,6-2 ,225,LB,Walton,Marietta,GA,NA,NA,NA,NA,247,UMass
Markus Boswell,6-1 ,200,LB,JP Collegiate,Indian Trail,NC,NA,NA,NA,NA,247,UMass
Mason Frey,6-2 ,220,LB,Fairfield College Preparatory,Fairfield,CT,NA,NA,NA,NA,247,UMass
Rasean Dinkins,5-10.5 ,175,CB,Warner Robins,Warner Robins,GA,0.93,165,14,22,247,UMass
Tre Poteat,6-0 ,175,CB,Verona Area,Verona,WI,0.9,NA,43,3,247,UMass
Mark Manfred,6-1 ,175,CB,Sprayberry,Marietta,GA,0.89,NA,48,59,247,UMass
Keshawn Davila,6-1 ,165,CB,Northwest Mississippi C.C.,Senatobia,MS,0.88,6,1,4,247,UMass
Jaylen Bell,5-11 ,170,CB,Grayson,Loganville,GA,0.87,NA,73,97,247,UMass
Caden Gordon,6-1 ,170,CB,Santaluces Community,Lake Worth,FL,0.87,NA,77,88,247,UMass
Kaylib Singleton,6-1 ,173,CB,Oakleaf,Orange Park,FL,0.87,NA,80,100,247,UMass
Rayshon Andrews,6-3.5 ,180,CB,Avon Old Farms,Avon,CT,0.87,NA,84,8,247,UMass
Xavier Thompson,6-0.5 ,170,CB,Pine Forest,Pensacola,FL,0.87,NA,95,107,247,UMass
Renick Dorilas,5-11 ,150,CB,Don Bosco Prep,Ramsey,NJ,0.87,NA,97,30,247,UMass
Marquet Dorsey Jr.,6-1 ,180,CB,Don Bosco Prep,Ramsey,NJ,0.86,NA,117,37,247,UMass
Devenchi Arnold,6-2 ,180,CB,Gonzaga College,Washington,DC,0.86,NA,118,6,247,UMass
Knahlij Harrell,5-10.5 ,165,CB,Green Run,Virginia Beach,VA,0.86,NA,124,38,247,UMass
Donmiel Rogers,5-9 ,161,CB,Winton Woods,Cincinnati,OH,0.86,NA,137,63,247,UMass
Montino Williams Jr.,6-2 ,193,CB,Matoaca,Chesterfield,VA,0.86,NA,117,42,247,UMass
La'Modrick Spencer,6-1 ,175,CB,Hutchinson C.C.,Hutchinson,KS,0.86,30,4,3,247,UMass
Amarien Jefferson,6-1 ,180,CB,East Central C.C.,Decatur,MS,0.86,39,6,18,247,UMass
Juan Berchal,5-9 ,170,CB,Seminole,Sanford,FL,0.85,NA,147,187,247,UMass
Jaylen Lewis,6-1 ,170,CB,Mandarin,Jacksonville,FL,0.85,NA,151,205,247,UMass
DJ Kelly,6-1 ,175,CB,St. Frances Academy,Baltimore,MD,0.85,NA,161,53,247,UMass
Osiris Gilbert,5-9.5 ,165,CB,Peachtree Ridge,Suwanee,GA,0.85,NA,164,205,247,UMass
Herlin Perry,5-11 ,165,CB,Miami Central,Miami,FL,0.85,NA,166,211,247,UMass
Davion Kerr,6-1 ,180,CB,St. Thomas More,Oakdale,CT,0.85,NA,167,19,247,UMass
Jahvion Jarmon,6-0 ,160,CB,Taft,Cincinnati,OH,0.84,NA,179,94,247,UMass
Omar Jah,5-11 ,180,CB,Olentangy,Lewis Center,OH,0.84,NA,182,99,247,UMass
Jayden Lawton,6-2 ,175,CB,Tyler J.C.,Tyler,TX,0.84,68,11,7,247,UMass
Jamarcus Pierre,5-9 ,170,CB,Cardinal Gibbons,Fort Lauderdale,FL,0.84,NA,187,239,247,UMass
Gaylon McNeal Jr,5-11 ,175,CB,North Crowley,Fort Worth,TX,0.83,NA,206,337,247,UMass
RJ Harrison,5-11 ,190,CB,Woodward Academy,Atlanta,GA,0.83,NA,217,243,247,UMass
Zaheed Pierre,5-9.5 ,165,CB,West Broward,Pembroke Pines,FL,0.83,NA,208,269,247,UMass
Christian Barrett,6-3 ,185,CB,Gadsden County,Havana,FL,0.83,NA,213,280,247,UMass
Jaiden Melton,6-0 ,170,CB,River Rouge,River Rouge,MI,0.82,NA,226,63,247,UMass
Devontae Roberts,5-10 ,172,CB,Gadsden County,Havana,FL,0.82,NA,235,310,247,UMass
Tyson Long,6-0 ,170,CB,Pickerington North,Pickerington,OH,0.81,NA,238,143,247,UMass
Airriss Rosemond,5-11 ,160,CB,Princeton,Cincinnati,OH,0.8,NA,246,152,247,UMass
Craig Royal,6-2 ,175,CB,Butler C.C.,El Dorado,KS,0.8,126,17,34,247,UMass
Jahmale Clark,5-10 ,160,CB,Trotwood-Madison,Dayton,OH,0.79,NA,281,168,247,UMass
Fredd Adams,5-9 ,160,CB,Northwest Mississippi C.C.,Senatobia,MS,0.78,175,25,63,247,UMass
Brandon Gunn,5-11 ,175,CB,Southwest DeKalb,Decatur,GA,NA,NA,NA,NA,247,UMass
Dylan Flowers,5-11 ,185,CB,College of the Canyons,Valencia,CA,NA,NA,NA,NA,247,UMass
Kaleno Levine,5-11 ,180,CB,Missouri State-West Plains,West Plains,MO,NA,NA,NA,NA,247,UMass
Jerreck Harper,6-0 ,185,CB,Trinity Valley C.C.,Athens,TX,NA,NA,NA,NA,247,UMass
Zayd Rogan,5-10 ,170,CB,Kell,Marietta,GA,NA,NA,NA,NA,247,UMass
Jared Porter,5-9 ,170,CB,Central Dauphin East,Harrisburg,PA,NA,NA,NA,NA,247,UMass
Christopher Hill,5-10 ,170,CB,Pine Forest,Pensacola,FL,NA,NA,NA,NA,247,UMass
Bryce Barner,6-0 ,185,CB,Langston Hughes,Fairburn,GA,NA,NA,NA,NA,247,UMass
Zade Johnson,5-10 ,170,CB,Malvern Prep,Malvern,PA,NA,NA,NA,NA,247,UMass
Bradley Martino,6-3 ,165,S,First Baptist Academy,Naples,FL,0.92,203,12,23,247,UMass
Martels Carter Jr.,6-0.5 ,190,S,Paducah Tilghman,Paducah,KY,0.9,NA,25,3,247,UMass
Ethan Long,6-2 ,185,S,Brunswick School,Greenwich,CT,0.89,NA,42,5,247,UMass
Joshua Patterson,5-11.5 ,165,S,Ed White,Jacksonville,FL,0.87,NA,76,102,247,UMass
Grant Grayton,6-2 ,185,S,Good Counsel,Olney,MD,0.87,NA,85,35,247,UMass
Alijah Jones,6-0 ,175,S,Archbishop Spalding,Severn,MD,0.85,NA,152,52,247,UMass
Tristan Teasdell,6-1 ,175,S,Tuscarora,Leesburg,VA,0.85,NA,164,44,247,UMass
Dylan King,6-3 ,200,S,East Mississippi C.C.,Scooba,MS,0.85,51,6,22,247,UMass
Devontae Grant,5-11 ,173,S,Evans,Orlando,FL,0.84,NA,178,224,247,UMass
Jussiah Williams-West,6-2 ,175,S,Wayne,Dayton,OH,0.84,NA,183,91,247,UMass
Devan Carlisle,6-4 ,200,S,Iowa Western C.C.,Council Bluffs,IA,0.84,77,9,7,247,UMass
Kelvin Reyes,5-11.5 ,168,S,West Broward,Pembroke Pines,FL,0.83,NA,215,265,247,UMass
DJ Hill-Smith,6-2 ,185,S,Copiah-Lincoln C.C.,Wesson,MS,0.83,88,12,32,247,UMass
Charleston Floyd,6-0 ,175,S,Pine Forest,Pensacola,FL,0.83,NA,220,268,247,UMass
Tobi Adewoyin,6-1 ,185,S,North Atlanta,Atlanta,GA,0.83,NA,222,245,247,UMass
Preston EstoEsta,6-1 ,180,S,William Mason,Mason,OH,0.82,NA,231,129,247,UMass
Walter Owens,6-2 ,190,S,Hinds C.C.,Raymond,MS,0.82,105,15,40,247,UMass
Owen Barry-Wilson,6-2 ,200,S,Westerville North,Westerville,OH,0.81,NA,249,149,247,UMass
Trent Gillis,6-1 ,185,S,Archbishop Spalding,Severn,MD,NA,NA,NA,NA,247,UMass
Isaiah Sink,5-11 ,170,S,Jones,Orlando,FL,NA,NA,NA,NA,247,UMass
Grant Thompson,6-0 ,182,S,North Atlanta,Atlanta,GA,NA,NA,NA,NA,247,UMass
Isaiah Brutus,6-2 ,195,S,Tohopekaliga,Kissimmee,FL,NA,NA,NA,NA,247,UMass
Emrhe Pray,6-3 ,191,S,Community School Of Naples,Naples,FL,NA,NA,NA,NA,247,UMass
Armani Cabrera,5-11 ,161,S,Curtis,Staten Island,NY,NA,NA,NA,NA,247,UMass
Todd Robinson,5-11 ,195,ATH,Valdosta,Valdosta,GA,0.94,123,4,14,247,UMass
Matthew Outten,6-0 ,200,ATH,I.C. Norcom,Portsmouth,VA,0.92,196,10,4,247,UMass
Nolan James,5-10 ,200,ATH,DePaul Catholic,Wayne,NJ,0.92,219,12,4,247,UMass
Tony Williams,6-1 ,190,ATH,Miami Central,Miami,FL,0.9,NA,31,40,247,UMass
Demetres Samuel Jr.,6-0 ,185,ATH,Heritage,Palm Bay,FL,0.9,NA,32,41,247,UMass
DJ Avery Jr.,6-0 ,180,ATH,Chattahoochee,Alpharetta,GA,0.9,NA,21,54,247,UMass
DeShawn Stewart,6-2 ,185,ATH,DePaul Catholic,Wayne,NJ,0.89,NA,41,15,247,UMass
Josiah Broxton,5-10 ,210,ATH,Florida State University School,Tallahassee,FL,0.88,NA,72,77,247,UMass
Tyler Houser,6-2 ,220,ATH,Pope John XXIII,Sparta,NJ,0.88,NA,78,20,247,UMass
Cody Haddad,6-1 ,175,ATH,St Ignatius,Cleveland,OH,0.88,NA,53,25,247,UMass
Caden Piening,6-4 ,230,ATH,Anderson,Cincinnati,OH,0.88,NA,40,32,247,UMass
Jaimier Scott,6-1 ,177,ATH,Mt Healthy,Cincinnati,OH,0.88,NA,51,34,247,UMass
Seaonta Stewart Jr.,6-2 ,180,ATH,Winton Woods,Cincinnati,OH,0.87,NA,72,38,247,UMass
TJ Green,5-11 ,180,ATH,Reynoldsburg,Reynoldsburg,OH,0.87,NA,77,43,247,UMass
Darrion Jones,6-2.5 ,175,ATH,Cape Coral,Cape Coral,FL,0.87,NA,105,111,247,UMass
Desmond Straughton,6-1 ,192,ATH,Roseville,Roseville,MI,0.86,NA,111,23,247,UMass
Adrian Walker Jr.,5-10 ,180,ATH,Belleville,Belleville,MI,0.86,NA,83,25,247,UMass
Nedrick Boldin Jr.,5-11 ,185,ATH,Palm Beach Central,West Palm Beach,FL,0.86,NA,86,143,247,UMass
Robert Jones III,5-11.5 ,165,ATH,Vero Beach,Vero Beach,FL,0.86,NA,107,147,247,UMass
Teddy Hoffmann,6-0.5 ,175,ATH,Atlantic,Delray Beach,FL,0.86,NA,163,148,247,UMass
Preston Douglas,6-3 ,230,ATH,The Benjamin School,North Palm Beach,FL,0.86,NA,68,151,247,UMass
Waden Charles,6-2 ,185,ATH,Somerset Academy Canyons,Boynton Beach,FL,0.86,NA,167,164,247,UMass
Jonathan Stevens,6-0 ,180,ATH,Westerville North,Westerville,OH,0.86,NA,100,51,247,UMass
Lucas Farrington,5-8 ,195,ATH,Walton,Marietta,GA,0.86,NA,118,161,247,UMass
Jonathan Carter,6-1 ,190,ATH,Charles W Flanagan,Hollywood,FL,0.85,NA,148,200,247,UMass
Bo MacCormack,6-0 ,190,ATH,Buckingham Browne & Nichols School,Cambridge,MA,0.85,NA,135,9,247,UMass
Preston Penn,6-2 ,210,ATH,Gahanna Lincoln,Columbus,OH,0.85,NA,137,75,247,UMass
Shiren Mabry,6-3 ,185,ATH,KIPP Columbus,Columbus,OH,0.85,NA,146,83,247,UMass
Jessiah McGrew,6-2 ,175,ATH,Florida State University School,Tallahassee,FL,0.85,NA,154,212,247,UMass
Madrid Tucker,5-9.5 ,155,ATH,Fort Myers,Fort Myers,FL,0.85,NA,155,213,247,UMass
Terrell Holcomb,6-3 ,205,ATH,Gahanna Lincoln,Columbus,OH,0.84,NA,159,86,247,UMass
Cashus Shivers,6-0 ,180,ATH,Cass Technical,Detroit,MI,0.84,NA,179,46,247,UMass
Joel Cordoba,6-2 ,185,ATH,Plainfield,Plainfield,NJ,0.84,NA,198,49,247,UMass
Derrick Jackson III,6-0 ,185,ATH,Cass Technical,Detroit,MI,0.83,NA,202,51,247,UMass
Mikey Young,6-1 ,205,ATH,Perkins,Sandusky,OH,0.83,NA,193,112,247,UMass
Derion Prophett,6-2 ,160,ATH,Fairfield,Fairfield,OH,0.83,NA,197,113,247,UMass
Devon St. Clair,6-2 ,192,ATH,Bishop Moore Catholic,Orlando,FL,0.82,NA,238,303,247,UMass
